product,type,category,sub_category
B Vishal,"Caps, Balloons & Candles",Cleaning & Household,Party & Festive Needs
B Vishal,"Caps, Balloons & Candles",Cleaning & Household,Party & Festive Needs
B Vishal,"Caps, Balloons & Candles",Cleaning & Household,Party & Festive Needs
B Vishal,"Caps, Balloons & Candles",Cleaning & Household,Party & Festive Needs
Mangaldeep,Organic Vegetables,Fruits & Vegetables,Organic Fruits & Vegetables
Mangaldeep,Organic Vegetables,Fruits & Vegetables,Organic Fruits & Vegetables
Mangaldeep,Organic Vegetables,Fruits & Vegetables,Organic Fruits & Vegetables
Mangaldeep,Organic Vegetables,Fruits & Vegetables,Organic Fruits & Vegetables
Mangaldeep,Organic Vegetables,Fruits & Vegetables,Organic Fruits & Vegetables
Mangaldeep,Organic Vegetables,Fruits & Vegetables,Organic Fruits & Vegetables
Amul,"Flavoured, Soya Milk","Bakery, Cakes & Dairy",Dairy
Amul,"Flavoured, Soya Milk","Bakery, Cakes & Dairy",Dairy
Amul,"Flavoured, Soya Milk","Bakery, Cakes & Dairy",Dairy
Amul,"Flavoured, Soya Milk","Bakery, Cakes & Dairy",Dairy
Amul,"Flavoured, Soya Milk","Bakery, Cakes & Dairy",Dairy
Amul,"Flavoured, Soya Milk","Bakery, Cakes & Dairy",Dairy
Fresho,Detergent Bars,Cleaning & Household,Detergents & Dishwash
Fresho,Detergent Bars,Cleaning & Household,Detergents & Dishwash
Fresho,Detergent Bars,Cleaning & Household,Detergents & Dishwash
Fresho,Detergent Bars,Cleaning & Household,Detergents & Dishwash
Too Yumm!,Salts,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery"
Too Yumm!,Salts,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery"
Too Yumm!,Salts,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery"
Too Yumm!,Salts,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery"
Too Yumm!,Salts,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery"
Too Yumm!,Salts,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery"
Too Yumm!,Salts,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery"
Too Yumm!,Salts,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery"
Too Yumm!,Salts,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery"
Too Yumm!,Salts,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery"
Sln  ,Namkeen & Savoury Snacks,Snacks & Branded Foods,Snacks & Namkeen
Sln  ,Namkeen & Savoury Snacks,Snacks & Branded Foods,Snacks & Namkeen
Sln  ,Namkeen & Savoury Snacks,Snacks & Branded Foods,Snacks & Namkeen
Sln  ,Namkeen & Savoury Snacks,Snacks & Branded Foods,Snacks & Namkeen
Sunfeast,Cream Biscuits & Wafers,Snacks & Branded Foods,Biscuits & Cookies
Sunfeast,Cream Biscuits & Wafers,Snacks & Branded Foods,Biscuits & Cookies
Sunfeast,Cream Biscuits & Wafers,Snacks & Branded Foods,Biscuits & Cookies
Fresho,Organic Vegetables,Fruits & Vegetables,Organic Fruits & Vegetables
Fresho,Organic Vegetables,Fruits & Vegetables,Organic Fruits & Vegetables
Fresho,Organic Vegetables,Fruits & Vegetables,Organic Fruits & Vegetables
Fresho,Organic Vegetables,Fruits & Vegetables,Organic Fruits & Vegetables
Fresho,Organic Vegetables,Fruits & Vegetables,Organic Fruits & Vegetables
Fresho,Organic Vegetables,Fruits & Vegetables,Herbs & Seasonings
Fresho,Organic Vegetables,Fruits & Vegetables,Herbs & Seasonings
Fresho,Coffee & Pre-Mix,Gourmet & World Food,Drinks & Beverages
Fresho,Coffee & Pre-Mix,Gourmet & World Food,Drinks & Beverages
Fresho,Coffee & Pre-Mix,Gourmet & World Food,Drinks & Beverages
ACT II,Soups,Snacks & Branded Foods,Ready To Cook & Eat
ACT II,Soups,Snacks & Branded Foods,Ready To Cook & Eat
ACT II,Soups,Snacks & Branded Foods,Ready To Cook & Eat
ACT II,Soups,Snacks & Branded Foods,Ready To Cook & Eat
ACT II,Soups,Snacks & Branded Foods,Ready To Cook & Eat
ACT II,Soups,Snacks & Branded Foods,Ready To Cook & Eat
ACT II,Soups,Snacks & Branded Foods,Ready To Cook & Eat
ACT II,Soups,Snacks & Branded Foods,Ready To Cook & Eat
ACT II,Soups,Snacks & Branded Foods,Ready To Cook & Eat
Chings,Blended Masalas,"Foodgrains, Oil & Masala",Masalas & Spices
Chings,Blended Masalas,"Foodgrains, Oil & Masala",Masalas & Spices
Chings,Blended Masalas,"Foodgrains, Oil & Masala",Masalas & Spices
Lux,Bathing Bars & Soaps,Beauty & Hygiene,Bath & Hand Wash
Lux,Bathing Bars & Soaps,Beauty & Hygiene,Bath & Hand Wash
Winkies,Tea Cakes & Slice Cakes,"Bakery, Cakes & Dairy",Cakes & Pastries
Winkies,Tea Cakes & Slice Cakes,"Bakery, Cakes & Dairy",Cakes & Pastries
Winkies,Tea Cakes & Slice Cakes,"Bakery, Cakes & Dairy",Cakes & Pastries
Nandini,Salts,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery"
Fresho,Cut & Peeled Veggies,Fruits & Vegetables,Cuts & Sprouts
Fresho,Cut & Peeled Veggies,Fruits & Vegetables,Cuts & Sprouts
Fresho,Cut & Peeled Veggies,Fruits & Vegetables,Cuts & Sprouts
Fresho,Cut & Peeled Veggies,Fruits & Vegetables,Cuts & Sprouts
Dukes,Cream Biscuits & Wafers,Snacks & Branded Foods,Biscuits & Cookies
Dukes,Cream Biscuits & Wafers,Snacks & Branded Foods,Biscuits & Cookies
Dukes,Cream Biscuits & Wafers,Snacks & Branded Foods,Biscuits & Cookies
Dukes,Cream Biscuits & Wafers,Snacks & Branded Foods,Biscuits & Cookies
Dukes,Cream Biscuits & Wafers,Snacks & Branded Foods,Biscuits & Cookies
Fresho,Cut & Peeled Veggies,Fruits & Vegetables,Exotic Fruits & Veggies
B Natural,Juices,Beverages,Fruit Juices & Drinks
B Natural,Juices,Beverages,Fruit Juices & Drinks
B Natural,Juices,Beverages,Fruit Juices & Drinks
B Natural,Juices,Beverages,Fruit Juices & Drinks
B Natural,Juices,Beverages,Fruit Juices & Drinks
B Natural,Juices,Beverages,Fruit Juices & Drinks
Time Pass,Namkeen & Savoury Snacks,Snacks & Branded Foods,Snacks & Namkeen
Time Pass,Namkeen & Savoury Snacks,Snacks & Branded Foods,Snacks & Namkeen
Time Pass,Namkeen & Savoury Snacks,Snacks & Branded Foods,Snacks & Namkeen
Time Pass,Namkeen & Savoury Snacks,Snacks & Branded Foods,Snacks & Namkeen
Time Pass,Namkeen & Savoury Snacks,Snacks & Branded Foods,Snacks & Namkeen
Time Pass,Namkeen & Savoury Snacks,Snacks & Branded Foods,Snacks & Namkeen
Time Pass,Namkeen & Savoury Snacks,Snacks & Branded Foods,Snacks & Namkeen
Vicks,Everyday Medicine,Beauty & Hygiene,Health & Medicine
Vicks,Everyday Medicine,Beauty & Hygiene,Health & Medicine
Vicks,Everyday Medicine,Beauty & Hygiene,Health & Medicine
Vicks,Everyday Medicine,Beauty & Hygiene,Health & Medicine
Vicks,Everyday Medicine,Beauty & Hygiene,Health & Medicine
Vicks,Everyday Medicine,Beauty & Hygiene,Health & Medicine
Fresho,Fresh Salads & Sprouts,Fruits & Vegetables,Cuts & Sprouts
Ego of Paris,"Croissants, Bagels","Bakery, Cakes & Dairy",Gourmet Breads
Kelloggs,"Milk, White & Sandwich","Bakery, Cakes & Dairy",Breads & Buns
Britannia,Bathing Bars & Soaps,Beauty & Hygiene,Bath & Hand Wash
Britannia,Bathing Bars & Soaps,Beauty & Hygiene,Bath & Hand Wash
Britannia,Bathing Bars & Soaps,Beauty & Hygiene,Bath & Hand Wash
Britannia,Bathing Bars & Soaps,Beauty & Hygiene,Bath & Hand Wash
Britannia,Bathing Bars & Soaps,Beauty & Hygiene,Bath & Hand Wash
Britannia,Bathing Bars & Soaps,Beauty & Hygiene,Bath & Hand Wash
Jaji,"Agarbatti, Incense Sticks",Cleaning & Household,Pooja Needs
Jaji,"Agarbatti, Incense Sticks",Cleaning & Household,Pooja Needs
Jaji,"Agarbatti, Incense Sticks",Cleaning & Household,Pooja Needs
Jaji,"Agarbatti, Incense Sticks",Cleaning & Household,Pooja Needs
Jaji,"Agarbatti, Incense Sticks",Cleaning & Household,Pooja Needs
Jaji,"Agarbatti, Incense Sticks",Cleaning & Household,Pooja Needs
Jaji,"Agarbatti, Incense Sticks",Cleaning & Household,Pooja Needs
Jaji,"Agarbatti, Incense Sticks",Cleaning & Household,Pooja Needs
Comfy Snug Fit,Cut & Peeled Veggies,Fruits & Vegetables,Exotic Fruits & Veggies
ALPENLIEBE,"Potato, Onion & Tomato",Fruits & Vegetables,Fresh Vegetables
Fresho,Cut & Peeled Veggies,Fruits & Vegetables,Fresh Vegetables
Fresho,Cut & Peeled Veggies,Fruits & Vegetables,Fresh Vegetables
Fresho,Cut & Peeled Veggies,Fruits & Vegetables,Fresh Vegetables
THIRUMALA,"Flavoured, Soya Milk","Bakery, Cakes & Dairy",Dairy
Aashirvaad,Home Baking,Snacks & Branded Foods,Ready To Cook & Eat
Aashirvaad,Home Baking,Snacks & Branded Foods,Ready To Cook & Eat
Fresho,Organic Vegetables,Fruits & Vegetables,Organic Fruits & Vegetables
Fresho,Organic Vegetables,Fruits & Vegetables,Organic Fruits & Vegetables
Fresho,Organic Vegetables,Fruits & Vegetables,Organic Fruits & Vegetables
Fresho,Organic Vegetables,Fruits & Vegetables,Organic Fruits & Vegetables
Fresho,Organic Vegetables,Fruits & Vegetables,Organic Fruits & Vegetables
Chings,Chikki & Gajjak,Snacks & Branded Foods,Indian Mithai
Chings,Chikki & Gajjak,Snacks & Branded Foods,Indian Mithai
Chings,Chikki & Gajjak,Snacks & Branded Foods,Indian Mithai
Chings,Chikki & Gajjak,Snacks & Branded Foods,Indian Mithai
Chings,Chikki & Gajjak,Snacks & Branded Foods,Indian Mithai
Fresho,Cream Biscuits & Wafers,Snacks & Branded Foods,Biscuits & Cookies
Fresho,Cream Biscuits & Wafers,Snacks & Branded Foods,Biscuits & Cookies
Fresho,Cream Biscuits & Wafers,Snacks & Branded Foods,Biscuits & Cookies
Fresho,Cream Biscuits & Wafers,Snacks & Branded Foods,Biscuits & Cookies
Fresho,Cream Biscuits & Wafers,Snacks & Branded Foods,Biscuits & Cookies
Fresho,Cream Biscuits & Wafers,Snacks & Branded Foods,Biscuits & Cookies
Fresho,Cream Biscuits & Wafers,Snacks & Branded Foods,Biscuits & Cookies
Fresho,Cream Biscuits & Wafers,Snacks & Branded Foods,Biscuits & Cookies
Britannia,Cream Biscuits & Wafers,Snacks & Branded Foods,Biscuits & Cookies
Britannia,Cream Biscuits & Wafers,Snacks & Branded Foods,Biscuits & Cookies
Britannia,Cream Biscuits & Wafers,Snacks & Branded Foods,Biscuits & Cookies
Britannia,Cream Biscuits & Wafers,Snacks & Branded Foods,Biscuits & Cookies
bb Royal,Powdered Spices,"Foodgrains, Oil & Masala",Masalas & Spices
bb Royal,Powdered Spices,"Foodgrains, Oil & Masala",Masalas & Spices
bb Royal,Powdered Spices,"Foodgrains, Oil & Masala",Masalas & Spices
bb Royal,Powdered Spices,"Foodgrains, Oil & Masala",Masalas & Spices
Harmony,Bathing Bars & Soaps,Beauty & Hygiene,Bath & Hand Wash
Harmony,Bathing Bars & Soaps,Beauty & Hygiene,Bath & Hand Wash
Harmony,Bathing Bars & Soaps,Beauty & Hygiene,Bath & Hand Wash
Timios,Namkeen & Savoury Snacks,Snacks & Branded Foods,Snacks & Namkeen
Timios,Namkeen & Savoury Snacks,Snacks & Branded Foods,Snacks & Namkeen
Timios,Namkeen & Savoury Snacks,Snacks & Branded Foods,Snacks & Namkeen
Timios,Namkeen & Savoury Snacks,Snacks & Branded Foods,Snacks & Namkeen
Timios,Namkeen & Savoury Snacks,Snacks & Branded Foods,Snacks & Namkeen
Timios,Namkeen & Savoury Snacks,Snacks & Branded Foods,Snacks & Namkeen
PRISTINE,Organic Masalas & Spices,"Foodgrains, Oil & Masala",Organic Staples
PRISTINE,Organic Masalas & Spices,"Foodgrains, Oil & Masala",Organic Staples
Niine,Indian & Exotic Herbs,Fruits & Vegetables,Exotic Fruits & Veggies
Niine,Indian & Exotic Herbs,Fruits & Vegetables,Exotic Fruits & Veggies
Niine,Indian & Exotic Herbs,Fruits & Vegetables,Exotic Fruits & Veggies
Niine,Indian & Exotic Herbs,Fruits & Vegetables,Exotic Fruits & Veggies
